system   D            wsystem.c:583  maybe_parent_dir                 [   0.00148] Also searching C:\Users\user\Source\Repos\My-Projects\Forgotten Dungeon (C++)\
display  D   display_settings.c:377  _al_score_display_settings       [   0.09962] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09966] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.09971] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09974] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.09979] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09983] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.09988] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09992] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.09997] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.10000] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.10005] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.10008] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.10014] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.10017] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.10022] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.10026] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.10032] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.10037] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.10042] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.10045] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.10050] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.10054] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.10059] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.10062] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.10067] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.10071] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.10076] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.10079] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.10085] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.10089] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.10096] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.10099] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.10104] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.10108] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.10113] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.10116] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.10121] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.10125] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.10131] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.10135] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.10140] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.10144] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.10149] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.10152] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.10157] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.10161] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.10166] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.10169] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.10174] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.10178] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.10183] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.10186] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.10191] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.10195] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.10200] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.10203] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.10208] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.10212] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.10217] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.10220] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.10225] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.10229] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.10236] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.10239] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
